iter	Passed	Remaining
0	72	72765
1	76	38209
2	82	27556
3	86	21487
4	92	18405
5	95	15890
6	99	14095
7	102	12726
8	105	11648
9	109	10825
10	112	10152
11	116	9553
12	119	9041
13	122	8611
14	125	8255
15	128	7928
16	132	7636
17	135	7370
18	138	7133
19	141	6933
20	145	6769
21	148	6611
22	151	6443
23	154	6295
24	164	6434
25	168	6299
26	171	6170
27	174	6060
28	177	5950
29	180	5848
30	183	5748
31	187	5665
32	190	5586
33	194	5512
34	197	5436
35	200	5360
36	203	5295
37	206	5233
38	209	5172
39	213	5117
40	216	5059
41	219	5010
42	222	4962
43	226	4911
44	229	4860
45	231	4810
46	234	4763
47	238	4723
48	241	4681
49	244	4638
50	247	4598
51	250	4559
52	254	4549
53	257	4512
54	260	4477
55	263	4447
56	266	4406
57	269	4379
58	272	4348
59	275	4316
60	278	4286
61	281	4257
62	284	4236
63	287	4210
64	290	4185
65	293	4159
66	296	4133
67	300	4116
68	303	4094
69	306	4073
70	309	4050
71	312	4029
72	316	4014
73	322	4033
74	325	4015
75	328	3993
76	331	3978
77	335	3967
78	342	3998
79	346	3981
80	349	3969
81	354	3972
82	358	3959
83	361	3944
84	368	3963
85	374	3984
86	378	3967
87	381	3956
88	385	3942
89	388	3933
90	397	3975
91	401	3960
92	404	3945
93	408	3934
94	411	3924
95	418	3942
96	421	3928
97	430	3965
98	434	3952
99	446	4015
100	449	4003
101	462	4075
102	466	4060
103	469	4045
104	472	4029
105	475	4012
106	478	3994
107	481	3976
108	484	3962
109	488	3950
110	491	3936
111	494	3920
112	497	3904
113	500	3891
114	507	3901
115	510	3886
116	513	3871
117	515	3856
118	519	3843
119	522	3828
120	525	3813
121	527	3799
122	530	3784
123	534	3773
124	537	3760
125	540	3747
126	543	3734
127	546	3720
128	549	3711
129	552	3699
130	555	3686
131	558	3673
132	561	3661
133	564	3650
134	568	3639
135	570	3627
136	574	3617
137	577	3606
138	580	3595
139	583	3587
140	587	3578
141	590	3567
142	593	3556
143	597	3548
144	600	3538
145	603	3528
146	606	3517
147	609	3507
148	612	3498
149	617	3497
150	620	3486
151	622	3475
152	625	3464
153	638	3509
154	642	3501
155	653	3535
156	656	3525
157	660	3519
158	663	3510
159	669	3513
160	676	3527
161	680	3518
162	683	3508
163	686	3501
164	700	3546
165	704	3538
166	708	3534
167	712	3528
168	715	3520
169	719	3512
170	723	3505
171	734	3538
172	738	3530
173	744	3536
174	747	3525
175	750	3515
176	753	3504
177	757	3495
178	760	3486
179	763	3476
180	766	3467
181	769	3458
182	772	3449
183	775	3440
184	779	3432
185	782	3422
186	785	3413
187	788	3405
188	791	3397
189	797	3400
190	800	3391
191	804	3383
192	807	3376
193	810	3367
194	813	3358
195	816	3348
196	819	3340
197	822	3332
198	840	3384
199	843	3375
200	846	3366
201	849	3357
202	853	3349
203	856	3342
204	859	3333
205	862	3324
206	865	3315
207	868	3308
208	877	3321
209	880	3312
210	883	3302
211	886	3295
212	890	3288
213	892	3279
214	895	3271
215	898	3262
216	902	3255
217	905	3247
218	908	3239
219	911	3231
220	915	3226
221	925	3242
222	928	3236
223	932	3230
224	935	3223
225	938	3215
226	942	3208
227	945	3200
228	948	3192
229	951	3185
230	954	3178
231	957	3170
232	960	3162
233	963	3155
234	967	3148
235	970	3141
236	974	3136
237	977	3130
238	981	3124
239	984	3118
240	988	3112
241	991	3106
242	995	3102
243	1015	3145
244	1018	3139
245	1024	3139
246	1040	3171
247	1043	3165
248	1047	3160
249	1052	3157
250	1056	3153
251	1060	3148
252	1079	3188
253	1083	3182
254	1096	3203
255	1099	3196
256	1102	3188
257	1105	3179
258	1108	3172
259	1112	3166
260	1115	3158
261	1118	3150
262	1121	3143
263	1125	3138
264	1129	3131
265	1132	3124
266	1135	3116
267	1138	3108
268	1141	3102
269	1144	3095
270	1147	3087
271	1150	3079
272	1153	3071
273	1156	3063
274	1176	3102
275	1180	3096
276	1183	3089
277	1186	3081
278	1189	3074
279	1192	3067
280	1195	3059
281	1198	3051
282	1201	3043
283	1204	3036
284	1225	3074
285	1234	3081
286	1237	3074
287	1258	3110
288	1261	3103
289	1264	3096
290	1268	3089
291	1271	3083
292	1274	3075
293	1277	3067
294	1280	3059
295	1283	3051
296	1286	3044
297	1289	3037
298	1292	3031
299	1316	3072
300	1325	3078
301	1330	3075
302	1334	3070
303	1349	3090
304	1356	3091
305	1361	3086
306	1365	3082
307	1379	3100
308	1384	3097
309	1389	3091
310	1392	3085
311	1396	3078
312	1403	3080
313	1416	3095
314	1420	3088
315	1423	3081
316	1426	3073
317	1429	3065
318	1439	3073
319	1442	3065
320	1445	3057
321	1465	3086
322	1469	3079
323	1472	3072
324	1475	3064
325	1478	3056
326	1481	3048
327	1484	3041
328	1487	3033
329	1490	3025
330	1493	3017
331	1496	3010
332	1499	3003
333	1502	2995
334	1505	2987
335	1508	2980
336	1511	2972
337	1514	2966
338	1517	2959
339	1520	2951
340	1523	2944
341	1526	2937
342	1530	2930
343	1533	2923
344	1536	2916
345	1539	2909
346	1542	2902
347	1560	2924
348	1564	2917
349	1568	2913
350	1577	2916
351	1580	2908
352	1583	2901
353	1586	2894
354	1589	2888
355	1593	2881
356	1596	2875
357	1599	2868
358	1608	2872
359	1611	2865
360	1615	2858
361	1618	2852
362	1622	2846
363	1632	2851
364	1642	2857
365	1651	2860
366	1654	2853
367	1658	2847
368	1661	2841
369	1664	2834
370	1679	2847
371	1682	2840
372	1694	2848
373	1698	2842
374	1701	2835
375	1705	2829
376	1712	2829
377	1715	2822
378	1717	2814
379	1721	2808
380	1724	2801
381	1731	2801
382	1734	2794
383	1745	2799
384	1748	2792
385	1751	2785
386	1756	2782
387	1759	2775
388	1762	2768
389	1765	2761
390	1768	2754
391	1771	2747
392	1774	2740
393	1777	2733
394	1780	2727
395	1783	2720
396	1803	2739
397	1806	2732
398	1810	2726
399	1813	2719
400	1816	2713
401	1819	2706
402	1822	2699
403	1825	2692
404	1828	2685
